Mental Health Disorder Group,ICD10_Code,Description
Suicide or Self-Injury,T477X2S,"Poisoning by emetics, intentional self-harm, sequela"
Suicide or Self-Injury,T478X2A,"Poisoning by other agents primarily affecting gastrointestinal system, intentional self-harm, initial encounter"
Suicide or Self-Injury,T478X2S,"Poisoning by other agents primarily affecting gastrointestinal system, intentional self-harm, sequela"
Suicide or Self-Injury,T4792XA,"Poisoning by unspecified agents primarily affecting the gastrointestinal system, intentional self-harm, initial encounter"
Suicide or Self-Injury,T4792XS,"Poisoning by unspecified agents primarily affecting the gastrointestinal system, intentional self-harm, sequela"
Suicide or Self-Injury,T480X2A,"Poisoning by oxytocic drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,T480X2S,"Poisoning by oxytocic drugs, intentional self-harm, sequela"
Suicide or Self-Injury,T481X2A,"Poisoning by skeletal muscle relaxants [neuromuscular blocking agents], intentional self-harm, initial encounter"
Suicide or Self-Injury,T481X2S,"Poisoning by skeletal muscle relaxants [neuromuscular blocking agents], intentional self-harm, sequela"
Suicide or Self-Injury,T48202A,"Poisoning by unspecified drugs acting on muscles, intentional self-harm, initial encounter"
Suicide or Self-Injury,T48202S,"Poisoning by unspecified drugs acting on muscles, intentional self-harm, sequela"
Suicide or Self-Injury,T48292A,"Poisoning by other drugs acting on muscles, intentional self-harm, initial encounter"
Suicide or Self-Injury,T48292S,"Poisoning by other drugs acting on muscles, intentional self-harm, sequela"
Suicide or Self-Injury,T483X2A,"Poisoning by antitussives, intentional self-harm, initial encounter"
Suicide or Self-Injury,T483X2S,"Poisoning by antitussives, intentional self-harm, sequela"
Suicide or Self-Injury,T484X2A,"Poisoning by expectorants, intentional self-harm, initial encounter"
Suicide or Self-Injury,T484X2S,"Poisoning by expectorants, intentional self-harm, sequela"
Suicide or Self-Injury,T485X2A,"Poisoning by other anti-common-cold drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,T485X2S,"Poisoning by other anti-common-cold drugs, intentional self-harm, sequela"
Suicide or Self-Injury,T486X2A,"Poisoning by antiasthmatics, intentional self-harm, initial encounter"
Suicide or Self-Injury,T486X2S,"Poisoning by antiasthmatics, intentional self-harm, sequela"
Suicide or Self-Injury,T48902A,"Poisoning by unspecified agents primarily acting on the respiratory system, intentional self-harm, initial encounter"
Suicide or Self-Injury,T48902S,"Poisoning by unspecified agents primarily acting on the respiratory system, intentional self-harm, sequela"
Suicide or Self-Injury,T48992A,"Poisoning by other agents primarily acting on the respiratory system, intentional self-harm, initial encounter"
Suicide or Self-Injury,T48992S,"Poisoning by other agents primarily acting on the respiratory system, intentional self-harm, sequela"
Suicide or Self-Injury,T490X2A,"Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,T490X2S,"Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, intentional self-harm, sequela"
Suicide or Self-Injury,T491X2A,"Poisoning by antipruritics, intentional self-harm, initial encounter"
Suicide or Self-Injury,T491X2S,"Poisoning by antipruritics, intentional self-harm, sequela"
Suicide or Self-Injury,T492X2A,"Poisoning by local astringents and local detergents, intentional self-harm, initial encounter"
Suicide or Self-Injury,T492X2S,"Poisoning by local astringents and local detergents, intentional self-harm, sequela"
Suicide or Self-Injury,T493X2A,"Poisoning by emollients, demulcents and protectants, intentional self-harm, initial encounter"
Suicide or Self-Injury,T493X2S,"Poisoning by emollients, demulcents and protectants, intentional self-harm, sequela"
Suicide or Self-Injury,T494X2A,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, intentional self-harm, initial encounter"
Suicide or Self-Injury,T494X2S,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, intentional self-harm, sequela"
Suicide or Self-Injury,T495X2A,"Poisoning by ophthalmological drugs and preparations, intentional self-harm, initial encounter"
Suicide or Self-Injury,T495X2S,"Poisoning by ophthalmological drugs and preparations, intentional self-harm, sequela"
Suicide or Self-Injury,T496X2A,"Poisoning by otorhinolaryngological drugs and preparations, intentional self-harm, initial encounter"
Suicide or Self-Injury,T496X2S,"Poisoning by otorhinolaryngological drugs and preparations, intentional self-harm, sequela"
Suicide or Self-Injury,T497X2A,"Poisoning by dental drugs, topically applied, intentional self-harm, initial encounter"
Suicide or Self-Injury,T497X2S,"Poisoning by dental drugs, topically applied, intentional self-harm, sequela"
Suicide or Self-Injury,T498X2A,"Poisoning by other topical agents, intentional self-harm, initial encounter"
Suicide or Self-Injury,T498X2S,"Poisoning by other topical agents, intentional self-harm, sequela"
Suicide or Self-Injury,T4992XA,"Poisoning by unspecified topical agent, intentional self-harm, initial encounter"
Suicide or Self-Injury,T4992XS,"Poisoning by unspecified topical agent, intentional self-harm, sequela"
Suicide or Self-Injury,T500X2A,"Poisoning by mineralocorticoids and their antagonists, intentional self-harm, initial encounter"
Suicide or Self-Injury,T500X2S,"Poisoning by mineralocorticoids and their antagonists, intentional self-harm, sequela"
Suicide or Self-Injury,T501X2A,"Poisoning by loop [high-ceiling] diuretics, intentional self-harm, initial encounter"
Suicide or Self-Injury,T501X2S,"Poisoning by loop [high-ceiling] diuretics, intentional self-harm, sequela"
Suicide or Self-Injury,T502X2A,"Poisoning by carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, intentional self-harm, initial encounter"
Suicide or Self-Injury,T502X2S,"Poisoning by carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, intentional self-harm, sequela"
Suicide or Self-Injury,T503X2A,"Poisoning by electrolytic, caloric and water-balance agents, intentional self-harm, initial encounter"
Suicide or Self-Injury,T503X2S,"Poisoning by electrolytic, caloric and water-balance agents, intentional self-harm, sequela"
Suicide or Self-Injury,T504X2A,"Poisoning by drugs affecting uric acid metabolism, intentional self-harm, initial encounter"
Suicide or Self-Injury,T504X2S,"Poisoning by drugs affecting uric acid metabolism, intentional self-harm, sequela"
Suicide or Self-Injury,T505X2A,"Poisoning by appetite depressants, intentional self-harm, initial encounter"
Suicide or Self-Injury,T505X2S,"Poisoning by appetite depressants, intentional self-harm, sequela"
Suicide or Self-Injury,T506X2A,"Poisoning by antidotes and chelating agents, intentional self-harm, initial encounter"
Suicide or Self-Injury,T506X2S,"Poisoning by antidotes and chelating agents, intentional self-harm, sequela"
Suicide or Self-Injury,T507X2A,"Poisoning by analeptics and opioid receptor antagonists, intentional self-harm, initial encounter"
Suicide or Self-Injury,T507X2S,"Poisoning by analeptics and opioid receptor antagonists, intentional self-harm, sequela"
Suicide or Self-Injury,T508X2A,"Poisoning by diagnostic agents, intentional self-harm, initial encounter"
Suicide or Self-Injury,T508X2S,"Poisoning by diagnostic agents, intentional self-harm, sequela"
Suicide or Self-Injury,T50902A,"Poisoning by unspecified drugs, medicaments and biological substances, intentional self-harm, initial encounter"
Suicide or Self-Injury,T50902S,"Poisoning by unspecified drugs, medicaments and biological substances, intentional self-harm, sequela"
Suicide or Self-Injury,T50912A,"Poisoning by multiple unspecified drugs, medicaments and biological substances, intentional self-harm, initial encounter"
Suicide or Self-Injury,T50912S,"Poisoning by multiple unspecified drugs, medicaments and biological substances, intentional self-harm, sequela"
Suicide or Self-Injury,T50992A,"Poisoning by other drugs, medicaments and biological substances, intentional self-harm, initial encounter"
Suicide or Self-Injury,T50992S,"Poisoning by other drugs, medicaments and biological substances, intentional self-harm, sequela"
Suicide or Self-Injury,T50A12A,"Poisoning by pertussis vaccine, including combinations with a pertussis component, intentional self-harm, initial encounter"
Suicide or Self-Injury,T50A12S,"Poisoning by pertussis vaccine, including combinations with a pertussis component, intentional self-harm, sequela"
Suicide or Self-Injury,T50A22A,"Poisoning by mixed bacterial vaccines without a pertussis component, intentional self-harm, initial encounter"
Suicide or Self-Injury,T50A22S,"Poisoning by mixed bacterial vaccines without a pertussis component, intentional self-harm, sequela"
Suicide or Self-Injury,T50A92A,"Poisoning by other bacterial vaccines, intentional self-harm, initial encounter"
Suicide or Self-Injury,T50A92S,"Poisoning by other bacterial vaccines, intentional self-harm, sequela"
Suicide or Self-Injury,T50B12A,"Poisoning by smallpox vaccines, intentional self-harm, initial encounter"
Suicide or Self-Injury,T50B12S,"Poisoning by smallpox vaccines, intentional self-harm, sequela"
Suicide or Self-Injury,T50B92A,"Poisoning by other viral vaccines, intentional self-harm, initial encounter"
Suicide or Self-Injury,T50B92S,"Poisoning by other viral vaccines, intentional self-harm, sequela"
Suicide or Self-Injury,T50Z12A,"Poisoning by immunoglobulin, intentional self-harm, initial encounter"
Suicide or Self-Injury,T50Z12S,"Poisoning by immunoglobulin, intentional self-harm, sequela"
Suicide or Self-Injury,T50Z92A,"Poisoning by other vaccines and biological substances, intentional self-harm, initial encounter"
Suicide or Self-Injury,T50Z92S,"Poisoning by other vaccines and biological substances, intentional self-harm, sequela"
Suicide or Self-Injury,T510X2A,"Toxic effect of ethanol, intentional self-harm, initial encounter"
Suicide or Self-Injury,T510X2S,"Toxic effect of ethanol, intentional self-harm, sequela"
Suicide or Self-Injury,T511X2A,"Toxic effect of methanol, intentional self-harm, initial encounter"
Suicide or Self-Injury,T511X2S,"Toxic effect of methanol, intentional self-harm, sequela"
Suicide or Self-Injury,T512X2A,"Toxic effect of 2-Propanol, intentional self-harm, initial encounter"
Suicide or Self-Injury,T512X2S,"Toxic effect of 2-Propanol, intentional self-harm, sequela"
Suicide or Self-Injury,T513X2A,"Toxic effect of fusel oil, intentional self-harm, initial encounter"
Suicide or Self-Injury,T513X2S,"Toxic effect of fusel oil, intentional self-harm, sequela"
Suicide or Self-Injury,T518X2A,"Toxic effect of other alcohols, intentional self-harm, initial encounter"
Suicide or Self-Injury,T518X2S,"Toxic effect of other alcohols, intentional self-harm, sequela"
Suicide or Self-Injury,T5192XA,"Toxic effect of unspecified alcohol, intentional self-harm, initial encounter"
Suicide or Self-Injury,T5192XS,"Toxic effect of unspecified alcohol, intentional self-harm, sequela"
Suicide or Self-Injury,T520X2A,"Toxic effect of petroleum products, intentional self-harm, initial encounter"
Suicide or Self-Injury,T520X2S,"Toxic effect of petroleum products, intentional self-harm, sequela"
Suicide or Self-Injury,T521X2A,"Toxic effect of benzene, intentional self-harm, initial encounter"
Suicide or Self-Injury,T521X2S,"Toxic effect of benzene, intentional self-harm, sequela"
Suicide or Self-Injury,T522X2A,"Toxic effect of homologues of benzene, intentional self-harm, initial encounter"
Suicide or Self-Injury,T522X2S,"Toxic effect of homologues of benzene, intentional self-harm, sequela"
Suicide or Self-Injury,T523X2A,"Toxic effect of glycols, intentional self-harm, initial encounter"
Suicide or Self-Injury,T523X2S,"Toxic effect of glycols, intentional self-harm, sequela"
Suicide or Self-Injury,T524X2A,"Toxic effect of ketones, intentional self-harm, initial encounter"
Suicide or Self-Injury,T524X2S,"Toxic effect of ketones, intentional self-harm, sequela"
Suicide or Self-Injury,T528X2A,"Toxic effect of other organic solvents, intentional self-harm, initial encounter"
Suicide or Self-Injury,T528X2S,"Toxic effect of other organic solvents, intentional self-harm, sequela"
Suicide or Self-Injury,T5292XA,"Toxic effect of unspecified organic solvent, intentional self-harm, initial encounter"
Suicide or Self-Injury,T5292XS,"Toxic effect of unspecified organic solvent, intentional self-harm, sequela"
Suicide or Self-Injury,T530X2A,"Toxic effect of carbon tetrachloride, intentional self-harm, initial encounter"
Suicide or Self-Injury,T530X2S,"Toxic effect of carbon tetrachloride, intentional self-harm, sequela"
Suicide or Self-Injury,T531X2A,"Toxic effect of chloroform, intentional self-harm, initial encounter"
Suicide or Self-Injury,T531X2S,"Toxic effect of chloroform, intentional self-harm, sequela"
Suicide or Self-Injury,T532X2A,"Toxic effect of trichloroethylene, intentional self-harm, initial encounter"
Suicide or Self-Injury,T532X2S,"Toxic effect of trichloroethylene, intentional self-harm, sequela"
Suicide or Self-Injury,T533X2A,"Toxic effect of tetrachloroethylene, intentional self-harm, initial encounter"
Suicide or Self-Injury,T533X2S,"Toxic effect of tetrachloroethylene, intentional self-harm, sequela"
Suicide or Self-Injury,T534X2A,"Toxic effect of dichloromethane, intentional self-harm, initial encounter"
Suicide or Self-Injury,T534X2S,"Toxic effect of dichloromethane, intentional self-harm, sequela"
Suicide or Self-Injury,T535X2A,"Toxic effect of chlorofluorocarbons, intentional self-harm, initial encounter"
Suicide or Self-Injury,T535X2S,"Toxic effect of chlorofluorocarbons, intentional self-harm, sequela"
Suicide or Self-Injury,T536X2A,"Toxic effect of other halogen derivatives of aliphatic hydrocarbons, intentional self-harm, initial encounter"
Suicide or Self-Injury,T536X2S,"Toxic effect of other halogen derivatives of aliphatic hydrocarbons, intentional self-harm, sequela"
Suicide or Self-Injury,T537X2A,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, intentional self-harm, initial encounter"
Suicide or Self-Injury,T537X2S,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, intentional self-harm, sequela"
Suicide or Self-Injury,T5392XA,"Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, intentional self-harm, initial encounter"
Suicide or Self-Injury,T5392XS,"Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, intentional self-harm, sequela"
Suicide or Self-Injury,T540X2A,"Toxic effect of phenol and phenol homologues, intentional self-harm, initial encounter"
Suicide or Self-Injury,T540X2S,"Toxic effect of phenol and phenol homologues, intentional self-harm, sequela"
Suicide or Self-Injury,T541X2A,"Toxic effect of other corrosive organic compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,T541X2S,"Toxic effect of other corrosive organic compounds, intentional self-harm, sequela"
Suicide or Self-Injury,T542X2A,"Toxic effect of corrosive acids and acid-like substances, intentional self-harm, initial encounter"
Suicide or Self-Injury,T542X2S,"Toxic effect of corrosive acids and acid-like substances, intentional self-harm, sequela"
Suicide or Self-Injury,T543X2A,"Toxic effect of corrosive alkalis and alkali-like substances, intentional self-harm, initial encounter"
Suicide or Self-Injury,T543X2S,"Toxic effect of corrosive alkalis and alkali-like substances, intentional self-harm, sequela"
Suicide or Self-Injury,T5492XA,"Toxic effect of unspecified corrosive substance, intentional self-harm, initial encounter"
Suicide or Self-Injury,T5492XS,"Toxic effect of unspecified corrosive substance, intentional self-harm, sequela"
Suicide or Self-Injury,T550X2A,"Toxic effect of soaps, intentional self-harm, initial encounter"
Suicide or Self-Injury,T550X2S,"Toxic effect of soaps, intentional self-harm, sequela"
Suicide or Self-Injury,T551X2A,"Toxic effect of detergents, intentional self-harm, initial encounter"
Suicide or Self-Injury,T551X2S,"Toxic effect of detergents, intentional self-harm, sequela"
Suicide or Self-Injury,T560X2A,"Toxic effect of lead and its compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,T560X2S,"Toxic effect of lead and its compounds, intentional self-harm, sequela"
Suicide or Self-Injury,T561X2A,"Toxic effect of mercury and its compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,T561X2S,"Toxic effect of mercury and its compounds, intentional self-harm, sequela"
Suicide or Self-Injury,T562X2A,"Toxic effect of chromium and its compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,T562X2S,"Toxic effect of chromium and its compounds, intentional self-harm, sequela"
Suicide or Self-Injury,T563X2A,"Toxic effect of cadmium and its compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,T563X2S,"Toxic effect of cadmium and its compounds, intentional self-harm, sequela"
Suicide or Self-Injury,T564X2A,"Toxic effect of copper and its compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,T564X2S,"Toxic effect of copper and its compounds, intentional self-harm, sequela"
Suicide or Self-Injury,T565X2A,"Toxic effect of zinc and its compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,T565X2S,"Toxic effect of zinc and its compounds, intentional self-harm, sequela"
Suicide or Self-Injury,T566X2A,"Toxic effect of tin and its compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,T566X2S,"Toxic effect of tin and its compounds, intentional self-harm, sequela"
Suicide or Self-Injury,T567X2A,"Toxic effect of beryllium and its compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,T567X2S,"Toxic effect of beryllium and its compounds, intentional self-harm, sequela"
Suicide or Self-Injury,T56812A,"Toxic effect of thallium, intentional self-harm, initial encounter"
Suicide or Self-Injury,T56812S,"Toxic effect of thallium, intentional self-harm, sequela"
Suicide or Self-Injury,T56892A,"Toxic effect of other metals, intentional self-harm, initial encounter"
Suicide or Self-Injury,T56892S,"Toxic effect of other metals, intentional self-harm, sequela"
Suicide or Self-Injury,T5692XA,"Toxic effect of unspecified metal, intentional self-harm, initial encounter"
Suicide or Self-Injury,T5692XS,"Toxic effect of unspecified metal, intentional self-harm, sequela"
Suicide or Self-Injury,T570X2A,"Toxic effect of arsenic and its compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,T570X2S,"Toxic effect of arsenic and its compounds, intentional self-harm, sequela"
Suicide or Self-Injury,T571X2A,"Toxic effect of phosphorus and its compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,T571X2S,"Toxic effect of phosphorus and its compounds, intentional self-harm, sequela"
Suicide or Self-Injury,T572X2A,"Toxic effect of manganese and its compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,T572X2S,"Toxic effect of manganese and its compounds, intentional self-harm, sequela"
Suicide or Self-Injury,T573X2A,"Toxic effect of hydrogen cyanide, intentional self-harm, initial encounter"
Suicide or Self-Injury,T573X2S,"Toxic effect of hydrogen cyanide, intentional self-harm, sequela"
Suicide or Self-Injury,T578X2A,"Toxic effect of other specified inorganic substances, intentional self-harm, initial encounter"
Suicide or Self-Injury,T578X2S,"Toxic effect of other specified inorganic substances, intentional self-harm, sequela"
Suicide or Self-Injury,T5792XA,"Toxic effect of unspecified inorganic substance, intentional self-harm, initial encounter"
Suicide or Self-Injury,T5792XS,"Toxic effect of unspecified inorganic substance, intentional self-harm, sequela"
Suicide or Self-Injury,T5802XA,"Toxic effect of carbon monoxide from motor vehicle exhaust, intentional self-harm, initial encounter"
Suicide or Self-Injury,T5802XS,"Toxic effect of carbon monoxide from motor vehicle exhaust, intentional self-harm, sequela"
Suicide or Self-Injury,T5812XA,"Toxic effect of carbon monoxide from utility gas, intentional self-harm, initial encounter"
Suicide or Self-Injury,T582X2A,"Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, intentional self-harm, initial encounter"
Suicide or Self-Injury,T582X2S,"Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, intentional self-harm, sequela"
Suicide or Self-Injury,T588X2A,"Toxic effect of carbon monoxide from other source, intentional self-harm, initial encounter"
Suicide or Self-Injury,T588X2S,"Toxic effect of carbon monoxide from other source, intentional self-harm, sequela"
Suicide or Self-Injury,T5892XA,"Toxic effect of carbon monoxide from unspecified source, intentional self-harm, initial encounter"
Suicide or Self-Injury,T5892XS,"Toxic effect of carbon monoxide from unspecified source, intentional self-harm, sequela"
Suicide or Self-Injury,T590X2A,"Toxic effect of nitrogen oxides, intentional self-harm, initial encounter"
Suicide or Self-Injury,T590X2S,"Toxic effect of nitrogen oxides, intentional self-harm, sequela"
Suicide or Self-Injury,T591X2A,"Toxic effect of sulfur dioxide, intentional self-harm, initial encounter"
Suicide or Self-Injury,T591X2S,"Toxic effect of sulfur dioxide, intentional self-harm, sequela"
Suicide or Self-Injury,T592X2A,"Toxic effect of formaldehyde, intentional self-harm, initial encounter"
Suicide or Self-Injury,T592X2S,"Toxic effect of formaldehyde, intentional self-harm, sequela"
Suicide or Self-Injury,T593X2A,"Toxic effect of lacrimogenic gas, intentional self-harm, initial encounter"
Suicide or Self-Injury,T593X2S,"Toxic effect of lacrimogenic gas, intentional self-harm, sequela"
Suicide or Self-Injury,T594X2A,"Toxic effect of chlorine gas, intentional self-harm, initial encounter"
Suicide or Self-Injury,T594X2S,"Toxic effect of chlorine gas, intentional self-harm, sequela"
Suicide or Self-Injury,T595X2A,"Toxic effect of fluorine gas and hydrogen fluoride, intentional self-harm, initial encounter"
Suicide or Self-Injury,T595X2S,"Toxic effect of fluorine gas and hydrogen fluoride, intentional self-harm, sequela"
Suicide or Self-Injury,T596X2A,"Toxic effect of hydrogen sulfide, intentional self-harm, initial encounter"
Suicide or Self-Injury,T596X2S,"Toxic effect of hydrogen sulfide, intentional self-harm, sequela"
Suicide or Self-Injury,T597X2A,"Toxic effect of carbon dioxide, intentional self-harm, initial encounter"
Suicide or Self-Injury,T597X2S,"Toxic effect of carbon dioxide, intentional self-harm, sequela"
Suicide or Self-Injury,T59812A,"Toxic effect of smoke, intentional self-harm, initial encounter"
Suicide or Self-Injury,T59812S,"Toxic effect of smoke, intentional self-harm, sequela"
Suicide or Self-Injury,T59892A,"Toxic effect of other specified gases, fumes and vapors, intentional self-harm, initial encounter"
Suicide or Self-Injury,T59892S,"Toxic effect of other specified gases, fumes and vapors, intentional self-harm, sequela"
Suicide or Self-Injury,T5992XA,"Toxic effect of unspecified gases, fumes and vapors, intentional self-harm, initial encounter"
Suicide or Self-Injury,T5992XS,"Toxic effect of unspecified gases, fumes and vapors, intentional self-harm, sequela"
Suicide or Self-Injury,T600X2A,"Toxic effect of organophosphate and carbamate insecticides, intentional self-harm, initial encounter"
Suicide or Self-Injury,T600X2S,"Toxic effect of organophosphate and carbamate insecticides, intentional self-harm, sequela"
Suicide or Self-Injury,T601X2A,"Toxic effect of halogenated insecticides, intentional self-harm, initial encounter"
Suicide or Self-Injury,T601X2S,"Toxic effect of halogenated insecticides, intentional self-harm, sequela"
Suicide or Self-Injury,T602X2A,"Toxic effect of other insecticides, intentional self-harm, initial encounter"
Suicide or Self-Injury,T602X2S,"Toxic effect of other insecticides, intentional self-harm, sequela"
Suicide or Self-Injury,T603X2A,"Toxic effect of herbicides and fungicides, intentional self-harm, initial encounter"
Suicide or Self-Injury,T603X2S,"Toxic effect of herbicides and fungicides, intentional self-harm, sequela"
Suicide or Self-Injury,T604X2A,"Toxic effect of rodenticides, intentional self-harm, initial encounter"
Suicide or Self-Injury,T604X2S,"Toxic effect of rodenticides, intentional self-harm, sequela"
Suicide or Self-Injury,T608X2A,"Toxic effect of other pesticides, intentional self-harm, initial encounter"
Suicide or Self-Injury,T608X2S,"Toxic effect of other pesticides, intentional self-harm, sequela"
Suicide or Self-Injury,T6092XA,"Toxic effect of unspecified pesticide, intentional self-harm, initial encounter"
Suicide or Self-Injury,T6092XS,"Toxic effect of unspecified pesticide, intentional self-harm, sequela"
Suicide or Self-Injury,T6102XA,"Ciguatera fish poisoning, intentional self-harm, initial encounter"
Suicide or Self-Injury,T6102XS,"Ciguatera fish poisoning, intentional self-harm, sequela"
Suicide or Self-Injury,T6112XA,"Scombroid fish poisoning, intentional self-harm, initial encounter"
Suicide or Self-Injury,T6112XS,"Scombroid fish poisoning, intentional self-harm, sequela"
Suicide or Self-Injury,T61772A,"Other fish poisoning, intentional self-harm, initial encounter"
Suicide or Self-Injury,T61772S,"Other fish poisoning, intentional self-harm, sequela"
Suicide or Self-Injury,T61782A,"Other shellfish poisoning, intentional self-harm, initial encounter"
Suicide or Self-Injury,T61782S,"Other shellfish poisoning, intentional self-harm, sequela"
Suicide or Self-Injury,T618X2A,"Toxic effect of other seafood, intentional self-harm, initial encounter"
Suicide or Self-Injury,T618X2S,"Toxic effect of other seafood, intentional self-harm, sequela"
Suicide or Self-Injury,T6192XA,"Toxic effect of unspecified seafood, intentional self-harm, initial encounter"
Suicide or Self-Injury,T6192XS,"Toxic effect of unspecified seafood, intentional self-harm, sequela"
Suicide or Self-Injury,T620X2A,"Toxic effect of ingested mushrooms, intentional self-harm, initial encounter"
Suicide or Self-Injury,T620X2S,"Toxic effect of ingested mushrooms, intentional self-harm, sequela"
Suicide or Self-Injury,T621X2A,"Toxic effect of ingested berries, intentional self-harm, initial encounter"
Suicide or Self-Injury,T621X2S,"Toxic effect of ingested berries, intentional self-harm, sequela"
Suicide or Self-Injury,T622X2A,"Toxic effect of other ingested (parts of) plant(s), intentional self-harm, initial encounter"
Suicide or Self-Injury,T622X2S,"Toxic effect of other ingested (parts of) plant(s), intentional self-harm, sequela"
Suicide or Self-Injury,T628X2A,"Toxic effect of other specified noxious substances eaten as food, intentional self-harm, initial encounter"
Suicide or Self-Injury,T628X2S,"Toxic effect of other specified noxious substances eaten as food, intentional self-harm, sequela"
Suicide or Self-Injury,T6292XA,"Toxic effect of unspecified noxious substance eaten as food, intentional self-harm, initial encounter"
Suicide or Self-Injury,T6292XS,"Toxic effect of unspecified noxious substance eaten as food, intentional self-harm, sequela"
Suicide or Self-Injury,T63002A,"Toxic effect of unspecified snake venom, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63002S,"Toxic effect of unspecified snake venom, intentional self-harm, sequela"
Suicide or Self-Injury,T63012A,"Toxic effect of rattlesnake venom, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63012S,"Toxic effect of rattlesnake venom, intentional self-harm, sequela"
Suicide or Self-Injury,T63022A,"Toxic effect of coral snake venom, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63022S,"Toxic effect of coral snake venom, intentional self-harm, sequela"
Suicide or Self-Injury,T63032A,"Toxic effect of taipan venom, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63032S,"Toxic effect of taipan venom, intentional self-harm, sequela"
Suicide or Self-Injury,T63042A,"Toxic effect of cobra venom, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63042S,"Toxic effect of cobra venom, intentional self-harm, sequela"
Suicide or Self-Injury,T63062A,"Toxic effect of venom of other North and South American snake, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63062S,"Toxic effect of venom of other North and South American snake, intentional self-harm, sequela"
Suicide or Self-Injury,T63072A,"Toxic effect of venom of other Australian snake, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63072S,"Toxic effect of venom of other Australian snake, intentional self-harm, sequela"
Suicide or Self-Injury,T63082A,"Toxic effect of venom of other African and Asian snake, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63082S,"Toxic effect of venom of other African and Asian snake, intentional self-harm, sequela"
Suicide or Self-Injury,T63092A,"Toxic effect of venom of other snake, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63092S,"Toxic effect of venom of other snake, intentional self-harm, sequela"
Suicide or Self-Injury,T63112A,"Toxic effect of venom of gila monster, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63112S,"Toxic effect of venom of gila monster, intentional self-harm, sequela"
Suicide or Self-Injury,T63122A,"Toxic effect of venom of other venomous lizard, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63122S,"Toxic effect of venom of other venomous lizard, intentional self-harm, sequela"
Suicide or Self-Injury,T63192A,"Toxic effect of venom of other reptiles, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63192S,"Toxic effect of venom of other reptiles, intentional self-harm, sequela"
Suicide or Self-Injury,T632X2A,"Toxic effect of venom of scorpion, intentional self-harm, initial encounter"
Suicide or Self-Injury,T632X2S,"Toxic effect of venom of scorpion, intentional self-harm, sequela"
Suicide or Self-Injury,T63302A,"Toxic effect of unspecified spider venom, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63302S,"Toxic effect of unspecified spider venom, intentional self-harm, sequela"
Suicide or Self-Injury,T63312A,"Toxic effect of venom of black widow spider, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63312S,"Toxic effect of venom of black widow spider, intentional self-harm, sequela"
Suicide or Self-Injury,T63322A,"Toxic effect of venom of tarantula, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63322S,"Toxic effect of venom of tarantula, intentional self-harm, sequela"
Suicide or Self-Injury,T63332A,"Toxic effect of venom of brown recluse spider, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63332S,"Toxic effect of venom of brown recluse spider, intentional self-harm, sequela"
Suicide or Self-Injury,T63392A,"Toxic effect of venom of other spider, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63392S,"Toxic effect of venom of other spider, intentional self-harm, sequela"
