Mental_Health_Disorder_Group,ICD10_Code,Description
Suicide or Self-Injury,ICD10:T42.8X2S,"Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T43.012A,"Poisoning by tricyclic antidepressants, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T43.012S,"Poisoning by tricyclic antidepressants, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T43.022A,"Poisoning by tetracyclic antidepressants, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T43.022S,"Poisoning by tetracyclic antidepressants, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T43.1X2A,"Poisoning by monoamine-oxidase-inhibitor antidepressants, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T43.1X2S,"Poisoning by monoamine-oxidase-inhibitor antidepressants, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T43.202A,"Poisoning by unspecified antidepressants, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T43.202S,"Poisoning by unspecified antidepressants, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T43.212A,"Poisoning by selective serotonin and norepinephrine reuptake inhibitors, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T43.212S,"Poisoning by selective serotonin and norepinephrine reuptake inhibitors, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T43.222A,"Poisoning by selective serotonin reuptake inhibitors, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T43.222S,"Poisoning by selective serotonin reuptake inhibitors, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T43.292A,"Poisoning by other antidepressants, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T43.292S,"Poisoning by other antidepressants, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T43.3X2A,"Poisoning by phenothiazine antipsychotics and neuroleptics, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T43.3X2S,"Poisoning by phenothiazine antipsychotics and neuroleptics, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T43.4X2A,"Poisoning by butyrophenone and thiothixene neuroleptics, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T43.4X2S,"Poisoning by butyrophenone and thiothixene neuroleptics, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T43.502A,"Poisoning by unspecified antipsychotics and neuroleptics, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T43.502S,"Poisoning by unspecified antipsychotics and neuroleptics, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T43.592A,"Poisoning by other antipsychotics and neuroleptics, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T43.592S,"Poisoning by other antipsychotics and neuroleptics, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T43.602A,"Poisoning by unspecified psychostimulants, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T43.602S,"Poisoning by unspecified psychostimulants, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T43.612A,"Poisoning by caffeine, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T43.612S,"Poisoning by caffeine, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T43.622A,"Poisoning by amphetamines, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T43.622S,"Poisoning by amphetamines, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T43.632A,"Poisoning by methylphenidate, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T43.632S,"Poisoning by methylphenidate, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T43.642A,"Poisoning by ecstasy, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T43.642S,"Poisoning by ecstasy, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T43.692A,"Poisoning by other psychostimulants, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T43.692S,"Poisoning by other psychostimulants, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T43.8X2A,"Poisoning by other psychotropic drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T43.8X2S,"Poisoning by other psychotropic drugs, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T43.92XA,"Poisoning by unspecified psychotropic drug, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T43.92XS,"Poisoning by unspecified psychotropic drug, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T44.0X2A,"Poisoning by anticholinesterase agents, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T44.0X2S,"Poisoning by anticholinesterase agents, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T44.1X2A,"Poisoning by other parasympathomimetics [cholinergics], intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T44.1X2S,"Poisoning by other parasympathomimetics [cholinergics], intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T44.2X2A,"Poisoning by ganglionic blocking drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T44.2X2S,"Poisoning by ganglionic blocking drugs, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T44.3X2A,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T44.3X2S,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T44.4X2A,"Poisoning by predominantly alpha-adrenoreceptor agonists, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T44.4X2S,"Poisoning by predominantly alpha-adrenoreceptor agonists, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T44.5X2A,"Poisoning by predominantly beta-adrenoreceptor agonists, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T44.5X2S,"Poisoning by predominantly beta-adrenoreceptor agonists, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T44.6X2A,"Poisoning by alpha-adrenoreceptor antagonists, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T44.6X2S,"Poisoning by alpha-adrenoreceptor antagonists, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T44.7X2A,"Poisoning by beta-adrenoreceptor antagonists, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T44.7X2S,"Poisoning by beta-adrenoreceptor antagonists, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T44.8X2A,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T44.8X2S,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T44.902A,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T44.902S,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T44.992A,"Poisoning by other drug primarily affecting the autonomic nervous system, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T44.992S,"Poisoning by other drug primarily affecting the autonomic nervous system, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T45.0X2A,"Poisoning by antiallergic and antiemetic drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T45.0X2S,"Poisoning by antiallergic and antiemetic drugs, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T45.1X2A,"Poisoning by antineoplastic and immunosuppressive drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T45.1X2S,"Poisoning by antineoplastic and immunosuppressive drugs, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T45.2X2A,"Poisoning by vitamins, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T45.2X2S,"Poisoning by vitamins, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T45.3X2A,"Poisoning by enzymes, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T45.3X2S,"Poisoning by enzymes, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T45.4X2A,"Poisoning by iron and its compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T45.4X2S,"Poisoning by iron and its compounds, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T45.512A,"Poisoning by anticoagulants, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T45.512S,"Poisoning by anticoagulants, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T45.522A,"Poisoning by antithrombotic drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T45.522S,"Poisoning by antithrombotic drugs, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T45.602A,"Poisoning by unspecified fibrinolysis-affecting drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T45.602S,"Poisoning by unspecified fibrinolysis-affecting drugs, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T45.612A,"Poisoning by thrombolytic drug, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T45.612S,"Poisoning by thrombolytic drug, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T45.622A,"Poisoning by hemostatic drug, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T45.622S,"Poisoning by hemostatic drug, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T45.692A,"Poisoning by other fibrinolysis-affecting drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T45.692S,"Poisoning by other fibrinolysis-affecting drugs, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T45.7X2A,"Poisoning by anticoagulant antagonists, vitamin K and other coagulants, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T45.7X2S,"Poisoning by anticoagulant antagonists, vitamin K and other coagulants, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T45.8X2A,"Poisoning by other primarily systemic and hematological agents, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T45.8X2S,"Poisoning by other primarily systemic and hematological agents, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T45.92XA,"Poisoning by unspecified primarily systemic and hematological agent, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T45.92XS,"Poisoning by unspecified primarily systemic and hematological agent, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T46.0X2A,"Poisoning by cardiac-stimulant glycosides and drugs of similar action, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T46.0X2S,"Poisoning by cardiac-stimulant glycosides and drugs of similar action, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T46.1X2A,"Poisoning by calcium-channel blockers, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T46.1X2S,"Poisoning by calcium-channel blockers, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T46.2X2A,"Poisoning by other antidysrhythmic drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T46.2X2S,"Poisoning by other antidysrhythmic drugs, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T46.3X2A,"Poisoning by coronary vasodilators, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T46.3X2S,"Poisoning by coronary vasodilators, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T46.4X2A,"Poisoning by angiotensin-converting-enzyme inhibitors, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T46.4X2S,"Poisoning by angiotensin-converting-enzyme inhibitors, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T46.5X2A,"Poisoning by other antihypertensive drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T46.5X2S,"Poisoning by other antihypertensive drugs, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T46.6X2A,"Poisoning by antihyperlipidemic and antiarteriosclerotic drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T46.6X2S,"Poisoning by antihyperlipidemic and antiarteriosclerotic drugs, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T46.7X2A,"Poisoning by peripheral vasodilators, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T46.7X2S,"Poisoning by peripheral vasodilators, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T46.8X2A,"Poisoning by antivaricose drugs, including sclerosing agents, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T46.8X2S,"Poisoning by antivaricose drugs, including sclerosing agents, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T46.902A,"Poisoning by unspecified agents primarily affecting the cardiovascular system, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T46.902S,"Poisoning by unspecified agents primarily affecting the cardiovascular system, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T46.992A,"Poisoning by other agents primarily affecting the cardiovascular system, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T46.992S,"Poisoning by other agents primarily affecting the cardiovascular system, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T47.0X2A,"Poisoning by histamine H2-receptor blockers, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T47.0X2S,"Poisoning by histamine H2-receptor blockers, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T47.1X2A,"Poisoning by other antacids and anti-gastric-secretion drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T47.1X2S,"Poisoning by other antacids and anti-gastric-secretion drugs, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T47.2X2A,"Poisoning by stimulant laxatives, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T47.2X2S,"Poisoning by stimulant laxatives, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T47.3X2A,"Poisoning by saline and osmotic laxatives, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T47.3X2S,"Poisoning by saline and osmotic laxatives, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T47.4X2A,"Poisoning by other laxatives, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T47.4X2S,"Poisoning by other laxatives, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T47.5X2A,"Poisoning by digestants, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T47.5X2S,"Poisoning by digestants, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T47.6X2A,"Poisoning by antidiarrheal drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T47.6X2S,"Poisoning by antidiarrheal drugs, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T47.7X2A,"Poisoning by emetics, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T47.7X2S,"Poisoning by emetics, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T47.8X2A,"Poisoning by other agents primarily affecting gastrointestinal system, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T47.8X2S,"Poisoning by other agents primarily affecting gastrointestinal system, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T47.92XA,"Poisoning by unspecified agents primarily affecting the gastrointestinal system, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T47.92XS,"Poisoning by unspecified agents primarily affecting the gastrointestinal system, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T48.0X2A,"Poisoning by oxytocic drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T48.0X2S,"Poisoning by oxytocic drugs, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T48.1X2A,"Poisoning by skeletal muscle relaxants [neuromuscular blocking agents], intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T48.1X2S,"Poisoning by skeletal muscle relaxants [neuromuscular blocking agents], intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T48.202A,"Poisoning by unspecified drugs acting on muscles, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T48.202S,"Poisoning by unspecified drugs acting on muscles, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T48.292A,"Poisoning by other drugs acting on muscles, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T48.292S,"Poisoning by other drugs acting on muscles, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T48.3X2A,"Poisoning by antitussives, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T48.3X2S,"Poisoning by antitussives, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T48.4X2A,"Poisoning by expectorants, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T48.4X2S,"Poisoning by expectorants, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T48.5X2A,"Poisoning by other anti-common-cold drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T48.5X2S,"Poisoning by other anti-common-cold drugs, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T48.6X2A,"Poisoning by antiasthmatics, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T48.6X2S,"Poisoning by antiasthmatics, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T48.902A,"Poisoning by unspecified agents primarily acting on the respiratory system, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T48.902S,"Poisoning by unspecified agents primarily acting on the respiratory system, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T48.992A,"Poisoning by other agents primarily acting on the respiratory system, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T48.992S,"Poisoning by other agents primarily acting on the respiratory system, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T49.0X2A,"Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T49.0X2S,"Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T49.1X2A,"Poisoning by antipruritics, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T49.1X2S,"Poisoning by antipruritics, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T49.2X2A,"Poisoning by local astringents and local detergents, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T49.2X2S,"Poisoning by local astringents and local detergents, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T49.3X2A,"Poisoning by emollients, demulcents and protectants, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T49.3X2S,"Poisoning by emollients, demulcents and protectants, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T49.4X2A,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T49.4X2S,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T49.5X2A,"Poisoning by ophthalmological drugs and preparations, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T49.5X2S,"Poisoning by ophthalmological drugs and preparations, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T49.6X2A,"Poisoning by otorhinolaryngological drugs and preparations, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T49.6X2S,"Poisoning by otorhinolaryngological drugs and preparations, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T49.7X2A,"Poisoning by dental drugs, topically applied, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T49.7X2S,"Poisoning by dental drugs, topically applied, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T49.8X2A,"Poisoning by other topical agents, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T49.8X2S,"Poisoning by other topical agents, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T49.92XA,"Poisoning by unspecified topical agent, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T49.92XS,"Poisoning by unspecified topical agent, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T50.0X2A,"Poisoning by mineralocorticoids and their antagonists, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T50.0X2S,"Poisoning by mineralocorticoids and their antagonists, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T50.1X2A,"Poisoning by loop [high-ceiling] diuretics, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T50.1X2S,"Poisoning by loop [high-ceiling] diuretics, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T50.2X2A,"Poisoning by carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T50.2X2S,"Poisoning by carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T50.3X2A,"Poisoning by electrolytic, caloric and water-balance agents, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T50.3X2S,"Poisoning by electrolytic, caloric and water-balance agents, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T50.4X2A,"Poisoning by drugs affecting uric acid metabolism, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T50.4X2S,"Poisoning by drugs affecting uric acid metabolism, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T50.5X2A,"Poisoning by appetite depressants, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T50.5X2S,"Poisoning by appetite depressants, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T50.6X2A,"Poisoning by antidotes and chelating agents, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T50.6X2S,"Poisoning by antidotes and chelating agents, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T50.7X2A,"Poisoning by analeptics and opioid receptor antagonists, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T50.7X2S,"Poisoning by analeptics and opioid receptor antagonists, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T50.8X2A,"Poisoning by diagnostic agents, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T50.8X2S,"Poisoning by diagnostic agents, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T50.902A,"Poisoning by unspecified drugs, medicaments and biological substances, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T50.902S,"Poisoning by unspecified drugs, medicaments and biological substances, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T50.912A,"Poisoning by multiple unspecified drugs, medicaments and biological substances, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T50.912S,"Poisoning by multiple unspecified drugs, medicaments and biological substances, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T50.992A,"Poisoning by other drugs, medicaments and biological substances, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T50.992S,"Poisoning by other drugs, medicaments and biological substances, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T50.A12A,"Poisoning by pertussis vaccine, including combinations with a pertussis component, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T50.A12S,"Poisoning by pertussis vaccine, including combinations with a pertussis component, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T50.A22A,"Poisoning by mixed bacterial vaccines without a pertussis component, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T50.A22S,"Poisoning by mixed bacterial vaccines without a pertussis component, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T50.A92A,"Poisoning by other bacterial vaccines, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T50.A92S,"Poisoning by other bacterial vaccines, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T50.B12A,"Poisoning by smallpox vaccines, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T50.B12S,"Poisoning by smallpox vaccines, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T50.B92A,"Poisoning by other viral vaccines, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T50.B92S,"Poisoning by other viral vaccines, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T50.Z12A,"Poisoning by immunoglobulin, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T50.Z12S,"Poisoning by immunoglobulin, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T50.Z92A,"Poisoning by other vaccines and biological substances, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T50.Z92S,"Poisoning by other vaccines and biological substances, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T51.0X2A,"Toxic effect of ethanol, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T51.0X2S,"Toxic effect of ethanol, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T51.1X2A,"Toxic effect of methanol, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T51.1X2S,"Toxic effect of methanol, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T51.2X2A,"Toxic effect of 2-Propanol, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T51.2X2S,"Toxic effect of 2-Propanol, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T51.3X2A,"Toxic effect of fusel oil, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T51.3X2S,"Toxic effect of fusel oil, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T51.8X2A,"Toxic effect of other alcohols, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T51.8X2S,"Toxic effect of other alcohols, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T51.92XA,"Toxic effect of unspecified alcohol, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T51.92XS,"Toxic effect of unspecified alcohol, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T52.0X2A,"Toxic effect of petroleum products, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T52.0X2S,"Toxic effect of petroleum products, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T52.1X2A,"Toxic effect of benzene, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T52.1X2S,"Toxic effect of benzene, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T52.2X2A,"Toxic effect of homologues of benzene, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T52.2X2S,"Toxic effect of homologues of benzene, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T52.3X2A,"Toxic effect of glycols, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T52.3X2S,"Toxic effect of glycols, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T52.4X2A,"Toxic effect of ketones, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T52.4X2S,"Toxic effect of ketones, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T52.8X2A,"Toxic effect of other organic solvents, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T52.8X2S,"Toxic effect of other organic solvents, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T52.92XA,"Toxic effect of unspecified organic solvent, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T52.92XS,"Toxic effect of unspecified organic solvent, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T53.0X2A,"Toxic effect of carbon tetrachloride, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T53.0X2S,"Toxic effect of carbon tetrachloride, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T53.1X2A,"Toxic effect of chloroform, intentional self-harm, initial encounter"
